team_id,philosophy,resource,status
team:songdo_univ,스파르타(혹독훈련),안정,명문
team:suri_univ,데이터중심,안정,엘리트
team:gyeongin_univ,근성/언더독,알뜰,언더독
team:gwanggyo_univ,투수왕국,안정,엘리트
team:byeollae_univ,공격야구(화력),안정,신흥
team:hanam_univ,스몰볼,안정,중견
team:hwahong_univ,스파르타(혹독훈련),안정,엘리트
team:osan_univ,근성/언더독,알뜰,언더독
team:sosa_univ,육성중심,알뜰,언더독
team:gwanyang_univ,수비/짜임새,안정,중견
team:wolmi_univ,베테랑우대,알뜰,언더독
team:sihwa_univ,젊은피(세대교체),안정,중견
team:banwol_univ,부상방지/재활특화,알뜰,언더독
team:jinwi_univ,데이터중심,안정,중견
team:baekje_univ,전통/정통,안정,명문
team:yuseong_univ,전통/정통,안정,엘리트
team:gyeryong_univ,근성/언더독,안정,신흥
team:sangdang_univ,육성중심,안정,중견
team:seonghwan_univ,공격야구(화력),알뜰,언더독
team:asan_univ,스몰볼,안정,중견
team:seosan_univ,수비/짜임새,알뜰,언더독
team:okcheon_univ,근성/언더독,궁핍,언더독
team:seoseok_univ,공격야구(화력),안정,명문
team:bitgoeul_univ,데이터중심,안정,엘리트
team:wansan_univ,투수왕국,안정,신흥
team:yudal_univ,육성중심,알뜰,언더독
team:odong_univ,스파르타(혹독훈련),안정,중견
team:seungju_univ,베테랑우대,알뜰,언더독
team:namak_univ,근성/언더독,궁핍,언더독
team:dalgubeol_univ,데이터중심,부유,엘리트
team:biseul_univ,전통/정통,안정,엘리트
team:hyeongsan_univ,수비/짜임새,안정,중견
team:hahoe_univ,젊은피(세대교체),알뜰,언더독
team:yeongcheon_univ,근성/언더독,궁핍,언더독
team:haedong_univ,육성중심,안정,명문
team:geumjeong_univ,공격야구(화력),안정,엘리트
team:taehwa_univ,데이터중심,안정,신흥
team:namgang_univ,육성중심,안정,중견
team:bunseong_univ,스몰볼,알뜰,언더독
team:geoje_univ,부상방지/재활특화,안정,중견
team:tongyeong_univ,근성/언더독,궁핍,언더독
team:chiak_univ,근성/언더독,궁핍,언더독
team:seorak_univ,육성중심,안정,중견
team:seogwi_univ,근성/언더독,알뜰,언더독
team:seoul_royals,전통/정통,부유,슈퍼스타
team:seoul_guardians,투수왕국,안정,엘리트
team:seoul_cobras,공격야구(화력),안정,중견
team:incheon_sharks,육성중심,안정,중견
team:suwon_knights,데이터중심,안정,신흥
team:daejeon_phantoms,젊은피(세대교체),알뜰,언더독
team:gwangju_panthers,전통/정통,안정,명문
team:daegu_sabers,스몰볼,안정,중견
team:busan_waves,공격야구(화력),안정,명문
team:changwon_stars,육성중심,부유,엘리트
team:seoul_royals_farm,전통/정통,부유,슈퍼스타
team:seoul_guardians_farm,투수왕국,안정,엘리트
team:seoul_cobras_farm,공격야구(화력),안정,중견
team:incheon_sharks_farm,육성중심,안정,중견
team:suwon_knights_farm,데이터중심,안정,신흥
team:daejeon_phantoms_farm,젊은피(세대교체),알뜰,언더독
team:gwangju_panthers_farm,전통/정통,안정,명문
team:daegu_sabers_farm,스몰볼,안정,중견
team:busan_waves_farm,공격야구(화력),안정,명문
team:changwon_stars_farm,육성중심,부유,엘리트
